La télé des années 80;0.04;24;590;620
Les carnets de Julie;0.04;49;18100;22200
Questions pour un champion;0.04;55;12100;20100
Le 18h30;0.04;-2;-2;80
Adopte un veuf;0.04;36;6600;8200
Shams;0.04;35;8100;181000
Premier amour;0.04;31;1900;4500
La nuit France 5;0.04;-2;10;40
Pompon Ours;0.04;26;1000;1100
Embarquement immédiat;0.04;31;2400;3000
Masha et Michka;0.04;34;40500;56800
Le magazine de la santé;0.04;42;8100;8800
Cinéma de minuit;0.04;34;1600;1700
Pierre et le loup;0.04;53;22200;31100
Scènes de ménages;0.04;38;49500;51700
66 minutes;0.04;38;12100;13300
Enquête exclusive;0.04;40;22200;27900
L'amour est dans le pré;0.04;52;60500;92100
Stumptown;0.04;40;33100;132300
Invitation au voyage;0.04;31;4400;6900
Les Vikings;0.04;50;9900;15700
Sous-marins;0.04;40;1000;1400
Mademoiselle de Joncquières;0.04;44;12100;15800
Les héritières;0.04;43;9900;13200
Le somnambule;0.04;34;320;1900
Imitation Game;0.04;55;27100;144600
Le hit W9;0.04;30;210;300
La petite histoire de France;0.04;43;33100;34300
Un dîner presque parfait;0.04;33;14800;19700
Les princes et les princesses de l'amour;0.04;40;90500;105100
The Impossible;0.04;44;33100;628900
La demande en mariage;0.04;29;260;530
Rasta Rockett;0.04;45;6600;8000
Habitons demain;0.03;31;590;670
Petits secrets en famille;0.03;26;1000;1100
My Million;0.03;56;49500;51600
Météo des neiges;0.03;43;5400;5900
Quotidien express;0.03;32;390;490
John Wick 2;0.03;23;22200;515299
La maison sur la plage;0.03;21;720;1000
Independence Day : Resurgence;0.03;26;5400;96400
Journal 13h00;0.03;-2;20;100
Journal 20h00;0.03;-2;10;110
Les Etoiles du sport;0.03;35;480;580
Histoires courtes;0.03;49;1300;1500
Amour. gloire et beauté;0.03;41;135000;142200
Tout compte fait;0.03;38;3600;8800
Bel et bien;0.03;37;9900;15800
3 Billboards : les panneaux de la vengeance;0.03;31;8100;9100
Malabar;0.03;42;12100;109900
Vous avez la parole;0.03;39;3600;4200
Présence protestante;0.03;27;720;830
Envoyé spécial;0.03;53;22200;28700
Vivement dimanche prochain;0.03;35;2400;3400
Réparer les vivants;0.03;42;8100;10300
Surprise sur prise;0.03;39;1600;2000
Un air de liberté;0.03;25;140;300
Daffy Duck;0.03;39;12100;210500
8 chances de tout gagner;0.03;31;3600;4300
Taffy;0.03;31;1900;68200
Météo à la carte;0.03;58;4400;4700
Secrets d'histoire;0.03;40;33100;42900
Jack Reacher;0.03;45;33100;633400
A table les enfants;0.03;27;480;1300
Chien Pourri;0.03;38;6600;8500
Les as de la jungle;0.03;54;14800;18300
Train de nuit;0.03;55;9900;11300
Echappées belles;0.03;53;22200;29600
C politique;0.03;39;14800;16400
A vous de voir;0.03;30;480;1000
Passage des arts;0.03;27;5400;5900
Place au cinéma;0.03;27;170;220
Rêver le futur;0.03;21;110;210
Parfum de scandale;0.03;-2;10;30
Les Pyjamasques;0.03;47;3600;5500
Gigantosaurus;0.03;33;3600;47700
Le monde en face;0.03;27;1900;2300
La grande librairie;0.03;40;49500;58800
Fille d'amour;0.03;23;110;160
Milou en mai;0.03;40;12100;13200
Moyen-Orient;0.03;54;27100;38300
Le carnaval des animaux;0.03;31;5400;8300
Emilie Jolie;0.03;46;14800;18700
Recherche appartement ou maison;0.03;40;18100;21400
Kid Lucky;0.03;25;480;1600
La meilleure boulangerie de France;0.03;27;18100;18800
Mon admirateur secret;0.03;34;5400;6200
Kid  toi;0.03;-2;30;30
Rupture pour tous;0.03;27;590;1400
Hippisme;0.03;45;1600;2300
Kid  Toi;0.03;-2;30;30
Court-circuit;0.03;59;12100;17400
Les grands mythes;0.03;44;2400;3300
Transatlantiques;0.03;44;2900;3700
ARTE Journal Junior;0.03;42;2900;4000
Food markets;0.03;27;1000;71900
Food Markets;0.03;27;1000;71900
La petite voleuse;0.03;37;9900;11200
La mer en peinture;0.03;-2;10;70
Les raisins de la colère;0.03;44;8100;9900
Quand on a 17 ans;0.03;29;6600;10300
Johnny Clegg;0.03;42;27100;41300
L'avenir;0.03;62;5400;105600
Honour;0.03;33;1900;214700
Antarctica;0.03;41;6600;800000
Stéphane Hessel;0.03;41;2400;3700
Post Positif;0.03;-2;-2;-2
Direct Auto Express;0.03;27;480;1700
Dos au mur;0.03;31;8100;9400
Les nouveaux héros;0.03;30;14800;17300
Les enquêtes du Chronicle;0.03;-2;10;70
L'héritier;0.03;37;9900;12600
Encore heureux;0.03;44;8100;8900
Mr.  Mrs. Smith;0.03;40;2400;84100
W9 Boutique;0.03;31;2400;2600
Ne le dis à personne;0.03;32;27100;32800
Le petit Nicolas;0.03;61;22200;39900
Les douze coups de midi;0.02;48;49500;58000
Reportages découverte;0.02;32;480;880
Grands reportages;0.02;42;3600;4600
Handball : Championnat du monde masculin;0.02;-2;10;10
Une étudiante sous emprise;0.02;26;2900;3200
Familles nombreuses : la vie en XXL;0.02;31;1300;1300
C'est Canteloup;0.02;39;6600;8500
Nelle tue mani;0.02;28;720;16700
50mn Inside;0.02;36;260;440
Super loto;0.02;59;60500;1600000
Coup de foudre sous la neige;0.02;24;720;940
Un mariage sous la neige;0.02;24;590;730
Coup de foudre à Paris;0.02;25;390;1100
Charlie et la chocolaterie;0.02;44;74000;90400
Un coup de foudre en garde partagée;0.02;-2;30;150
Symphonissime;0.02;37;1300;1300
Les enfants de la télé;0.02;44;5400;9100
Sagesses bouddhistes;0.02;35;1000;1300
Orthodoxie;0.02;57;27100;39300
Le jour du Seigneur;0.02;57;9900;14400
Messe;0.02;56;14800;93000
Vivement dimanche;0.02;49;12100;14800
Affaire conclue : la chasse aux objets;0.02;31;390;430
Ourse;0.02;43;2900;6000
La p'tite librairie;0.02;-2;0;-2
Les Z'amours;0.02;48;18100;19800
Ça commence aujourd'hui;0.02;38;40500;45800
Affaire conclue : la vie des objets;0.02;24;590;610
Le grand échiquier;0.02;28;8100;9400
Ecole Kourtrajmé;0.02;29;1000;1100
La fille dans les bois;0.02;34;1900;2200
Cash investigation;0.02;56;27100;31700
Agissons avec Jamy;0.02;-2;-2;-2
20h30 le samedi;0.02;34;880;2300
Disparition inquiétante;0.02;34;5400;5800
Les Victoires de la musique;0.02;45;1600;2100
Salto;0.02;68;550000;768400
Tropiques criminels;0.02;39;12100;13700
Joker;0.02;52;135000;6000000
Les comiques préférés des Français;0.02;26;720;780
Je voulais juste rentrer chez moi;0.02;30;5400;6500
Nous paysans;0.02;39;5400;5400
L'installation;0.02;32;720;1600
Taratata 100% live;0.02;45;1300;1500
Les matinales;0.02;26;140;410
Questions pour un super champion;0.02;42;2400;2800
Rocky Kwaterner;0.02;25;210;2100
Scooby-Doo et compagnie;0.02;27;880;1000
Le grand Slam;0.02;27;2400;2600
Stade 2;0.02;31;9900;10500
Lavilliers par Lavilliers;0.02;-2;140;140
Grizzy et les lemmings;0.02;53;2400;5000
Dans votre région;0.02;31;170;310
Les gens des Hauts;0.02;25;480;570
Chroniques méditerranéennes;0.02;25;390;550
Faut pas rêver;0.02;32;5400;6600
Les as de la jungle à la rescousse;0.02;30;320;770
Crime dans le Larzac;0.02;27;880;1100
La boîte à secrets;0.02;38;1900;2100
Nous nous sommes tant aimés;0.02;25;6600;7800
La loi de Julien;0.02;28;3600;3900
Ski alpin : Championnats du monde;0.02;-2;10;10
La faille;0.02;40;18100;30000
The Same Sky;0.02;24;590;9300
Mon nom est Personne;0.02;40;18100;21400
Vienna Blood;0.02;46;1900;66100
Opération Roméo;0.02;29;1300;1300
La grande aventure du France;0.02;-2;-2;-2
C dans l'air;0.02;50;165000;203400
Les triplés;0.02;37;1300;1900
44 chats;0.02;23;1900;2200
Yétili;0.02;38;260;610
Des trains pas comme les autres;0.02;44;9900;11800
C l'hebdo;0.02;34;3600;5500
Entre ciel et terre;0.02;42;2400;4700
Enquête de santé;0.02;37;720;2300
Serengeti;0.02;32;8100;161500
Destination Wild;0.02;-2;10;210
Mofy;0.02;31;260;6700
Les contes de Lupin;0.02;25;320;350
Le fanfaron;0.02;34;1900;2300
La meilleure façon de marcher;0.02;31;4400;4800
Nus et culottés;0.02;44;5400;6100
Voyage sur les flots célestes;0.02;23;210;260
48 heures;0.02;27;2400;3500
Indiens du Dakota;0.02;-2;10;30
Instinct *2018;0.02;-2;10;580
M6 Music;0.02;38;880;1200
66 minutes : grand format;0.02;29;880;1000
E=M6;0.02;34;590;2800
Les blagues de Toto;0.02;51;12100;15100
Incroyables transformations;0.02;33;33100;37900
Le grand restaurant : avant travaux;0.02;-2;-2;10
Die Hard 4 : retour en enfer;0.02;30;2400;3700
La boutique des secrets;0.02;23;390;1400
NCIS : enquêtes spéciales;0.02;49;6600;9400
Absolument stars;0.02;33;2900;3000
Zone interdite;0.02;41;22200;27400
Opération romance;0.02;-2;0;10
Insaisissables;0.02;37;60500;72500
